[0:00-0:02] 朋友们 咱们今天来一口气儿拆解一下
[0:02-0:05] 这个错综复杂的美国AI资本圈
[0:05-0:06] 和他们之间的太细致者
[0:09-0:10] 我们知道
[0:10-0:13] AI就像是一个资本黑洞一样吸引着全球的钱
[0:13-0:15] 谷歌 微软 英伟达 杨克逊
[0:15-0:16] 欧盛AI 加布文
[0:16-0:17] Anthropic等等巨头
[0:17-0:19] 自身估值不断膨胀的同时
[0:19-0:21] 互相之间也投来投去 买来买去
[0:21-0:23] 比如说最近谷歌就承诺
[0:23-0:25] 最多400亿美元投资Anthropic
[0:25-0:27] 你要知道这个Anthropic
[0:27-0:29] 可是谷歌的Jamny直接的竞争对手
[0:29-0:30] 这俩人前两个月
[0:30-0:32] 还在给企业服务的AI市场打得你死我活
[0:32-0:34] 突然一下要钻一个废坡了
[0:34-0:36] 我跟你说 这几本就是
[0:36-0:38] 过去三年整个AI投资圈的一个缩影
[0:38-0:39] 就是乱
[0:42-0:43] 所以今天不评大模型
[0:43-0:44] 也不对比芯片
[0:44-0:46] 咱们就看资本操作
[0:46-0:47] 一起捋一捋
[0:47-0:48] 截止到目前为止
[0:48-0:49] 这些AI公司之间
[0:49-0:52] 是怎么个盘根错节的投资合作关系
[0:52-0:53] 其实我们分析到最后
[0:53-0:55] 你就能看出来一个比较清晰的脉络
[1:00-1:02] 首先 我们会聊到哪些公司呢
[1:02-1:03] 做AI的公司那么多
[1:03-1:05] 这年头谁不多少搞点AI 对吧
[1:05-1:06] 这个范围说实在的
[1:06-1:07] 就比较主观了
[1:07-1:08] 我先跟大家解释一下
[1:08-1:09] 我大概的选择标准
[1:11-1:13] 首先你必须得是最前沿
[1:13-1:14] 站在AI风口浪尖的公司
[1:14-1:17] 像苹果这种咱就不算进去了
[1:18-1:19] 其次我们今天讲的是
[1:19-1:21] 这些公司之间的资本关系
[1:21-1:21] 投资关系
[1:21-1:23] 所以我会主要找那种
[1:23-1:24] 在资本市场上比较活跃的公司
[1:24-1:26] 主要是以美国公司为主
[1:26-1:28] 因为他们玩的比较花
[1:28-1:30] 再有就是你得够大
[1:30-1:30] 咱们今天只看那些
