# youtube-digest 记忆卡组（草稿）
# 导入 Anki：文件 → 导入 → 字段分隔符 Tab → 允许 HTML 关闭 → 第三列映射为 Tags
# ⚠️ 这是机械生成的草稿，交付前必须人工过一遍：
#    删掉查表即可答的、合并语义重复的、把陈述句改成问句。
# 共 32 张（按优先级截断；另有 10 张候选未收录，--cap 0 可查看全部）
三星产能全球第一、产业链最完整、制程也不落后，为什么在 HBM 上掉队？说出机制，不要只说"技术不行"。	路线选择，不是能力差距。TC-NCF（逐片热压）在 4/8 层时有三项真实优势（连接层更薄、逐层参数可控、工艺成熟）。但 HBM3 起层数向 12/16 层发展，热压次数增多导致良率下降、工时拉长；真正输掉的是散热——MR-MUF 先连柱子再灌料，能把导热凸点做得更密。良率和工时可改善，散热差距却随层数与功率上升被放大。	nilNLfW7izg::综合::推
如果有人说"HBM 的护城河就是先进制程"，你怎么反驳？	瓶颈在封装而非制程。三家的 DRAM 制程差距远小于 58%:21%:21% 的份额差距——若制程决定胜负，份额不会如此不对称。而且 SK海力士的独有贡献只有 MR-MUF 量产落地，TSV 是 IBM 发明的，3D 堆叠是日欧美多方推进的。	nilNLfW7izg::综合::推
SK 能在 2011 年接下海力士，和 1980/1994 两桩收购是什么关系？这条因果链里哪一环最不牢靠？	链条：两桩垄断资产收购 → 稳定现金流 → 有本钱在三次流拍后接盘 → 投巨资开发 HBM → 卡住 AI 咽喉。最不牢靠的是起点——两桩收购的性质，SK 官方叙事与卢素英一方叙事完全对立，视频并列保留未作调和。其余环节是事实，但起点是争议。	nilNLfW7izg::综合::推
为什么 HBM 卖得越好，你手机和笔记本里的普通内存也跟着涨价？	产能挤占：每造一片 HBM 牺牲三片普通内存产能。HBM 需求爆发同时抽走通用内存产能，三条线全线涨价是同一原因的多个结果。Q1 DRAM 均价环比涨 60% 多、NAND 涨超 70%，涨价已蔓延到手机、平板、笔记本、游戏机，甚至引来消费者集体诉讼。	nilNLfW7izg::综合::推
本文哪些结论属于【推】或【测】而非【实】？至少说两条，并解释这个区分在转述时为什么重要。	【推】示例：①"散热是真正的分水岭"是视频的分析框架，非公开测定；②"MR-MUF 导热凸点是 TC-NCF 的 4 倍"出自 SK海力士自述，无第三方验证；③"HBM 缘起于前总统私欲"建立在单方庭审叙事上。【测】示例："存储瓶颈持续到 2030 年"出自崔泰源本人——供应商 CEO 谈自家产品紧缺，天然有立场。 重要性：转述时若把推演或利益相关方的预测讲成事实，一旦被追问"数据哪来的"就无法自圆，专业感瞬间归零。	nilNLfW7izg::综合::推
265 亿和 290 亿分别是什么？混着说会错在哪？	265 亿美元是 7月10日 IPO 实际完成的融资额（刷新阿里巴巴纪录，美国史上第二大股票发行）；290 亿美元是希望筹集、用于扩建产能（韩国新厂 + 美国新设施）的目标金额。混说会犯两类错：把计划说成已完成；把两个不同口径的数字当成同一笔钱的矛盾数据。	nilNLfW7izg::综合::推
视频认为"财阀在韩国无所不能、连总统都听财阀的"这个印象对吗？它用什么例子纠正？	至少军政府时期不是。框架是：财阀更像政府实现国家意志的工具——政府允许其控制经济命脉，同时要求其代表国家参与高投入高风险的国际竞争。例证是全斗焕时期釜山的国际集团，因捐款不积极引发大怒，只用二十多天倒闭。这也解释了反直觉现象：若只想赚钱，财阀最优解是垄断石油电信投美股，而非搞当时不赚钱的存储。	nilNLfW7izg::综合::推
一句话讲清差别？	一个是整体一次成型，一个是逐层压。	nilNLfW7izg::辨析::推
为什么不能这样说：265 亿 / 290 亿混着说	265 是已完成的 IPO 融资，290 是计划筹集的扩产目标	nilNLfW7izg::纠错::推
为什么不能这样说："SK海力士垄断 HBM"	是 58% 主导份额，三星美光各 21%，三家都在供货	nilNLfW7izg::纠错::推
为什么不能这样说："HBM 是 SK海力士发明的"	TSV 是 IBM 的，3D 堆叠是日欧美多方推进的， 它的独有贡献只有 MR-MUF 的量产落地	nilNLfW7izg::纠错::推
为什么不能这样说：把"HBM 缘起于前总统私欲"当事实讲	那是庭审中一方的叙事，SK 官方有完全不同的解释， 三审也未做事实确认	nilNLfW7izg::纠错::推
7/10 IPO 实际融资额——数值是多少？	265 亿美元　【实】	nilNLfW7izg::数字::实
「265 亿美元」在本篇指的是什么？	7/10 IPO 实际融资额　【实】	nilNLfW7izg::数字反向::实
计划筹集用于扩产的目标额——数值是多少？	290 亿美元　【实】	nilNLfW7izg::数字::实
「290 亿美元」在本篇指的是什么？	计划筹集用于扩产的目标额　【实】	nilNLfW7izg::数字反向::实
HBM 营收份额（去年 69%）——数值是多少？	58%　【实】	nilNLfW7izg::数字::实
「58%」在本篇指的是什么？	HBM 营收份额（去年 69%）　【实】	nilNLfW7izg::数字反向::实
三星 / 美光，并列第二——数值是多少？	21% / 21%　【实】	nilNLfW7izg::数字::实
「21% / 21%」在本篇指的是什么？	三星 / 美光，并列第二　【实】	nilNLfW7izg::数字反向::实
Rubin 平台 HBM4 订单占比——数值是多少？	六到七成　【实】	nilNLfW7izg::数字::实
「六到七成」在本篇指的是什么？	Rubin 平台 HBM4 订单占比　【实】	nilNLfW7izg::数字反向::实
每造 1 片 HBM 挤掉 3 片普通内存——数值是多少？	1 : 3　【推】（对外引用加「视频称」）	nilNLfW7izg::数字::推
「1 : 3」在本篇指的是什么？	每造 1 片 HBM 挤掉 3 片普通内存　【推】	nilNLfW7izg::数字反向::推
2026 Q1 营收，首破 50 万亿——数值是多少？	52.58 万亿韩元　【实】	nilNLfW7izg::数字::实
「52.58 万亿韩元」在本篇指的是什么？	2026 Q1 营收，首破 50 万亿　【实】	nilNLfW7izg::数字反向::实
DRAM / NAND 收入占比——数值是多少？	78% / 21%　【实】	nilNLfW7izg::数字::实
「78% / 21%」在本篇指的是什么？	DRAM / NAND 收入占比　【实】	nilNLfW7izg::数字反向::实
Q1 DRAM / NAND 均价涨幅——数值是多少？	+60% / +70%　【实】	nilNLfW7izg::数字::实
「+60% / +70%」在本篇指的是什么？	Q1 DRAM / NAND 均价涨幅　【实】	nilNLfW7izg::数字反向::实
HBM1/2 → HBM3/4 堆叠演进——数值是多少？	4/8 → 12/16 层　【实】	nilNLfW7izg::数字::实
「4/8 → 12/16 层」在本篇指的是什么？	HBM1/2 → HBM3/4 堆叠演进　【实】	nilNLfW7izg::数字反向::实
