# youtube-digest 记忆卡组（草稿）
# 导入 Anki：文件 → 导入 → 字段分隔符 Tab → 允许 HTML 关闭 → 第三列映射为 Tags
# ⚠️ 这是机械生成的草稿，交付前必须人工过一遍：
#    删掉查表即可答的、合并语义重复的、把陈述句改成问句。
# 共 32 张（按优先级截断；另有 33 张候选未收录，--cap 0 可查看全部）
AI 硬件板块跌超 20%，为什么大摩说这不是需求崩塌？他们用什么信号来支撑这个判断？	因为触发下跌的不是坏消息，是"好消息不够好"——即使存储公司交出漂亮财报，股价依然大跌。这本身说明筹码已经过度集中在少数拥挤的交易上（杠杆资金拥挤退出模式），任何风吹草动都会引发连锁踩踏，这是拥挤度问题，不是基本面证伪。存储分析师 Daniel 用"DRAM 价格同比二阶导数"这个框架进一步佐证：看的是价格加速度的拐点，不是需求本身消失。	rDkMK20YHIk::综合::推
美国和中国在 AI 竞争上分别卡在哪一层？为什么说这不是同一维度的竞争？	美国卡在物理和政治层面（People/Power/Politics 三重墙），不是技术层面——民众反对、电力短缺、地方政治限制，砸钱和技术突破解决不了扩张速度问题。中国走的是"低成本开源模型+国家级基建"的公共品路径，追求的目标函数是应用价值而非前沿算力。一个在优化"能不能扩张得更快"，一个在优化"能不能更便宜地落地"——目标函数不同，不是同一把尺子上的领先落后关系。	rDkMK20YHIk::综合::推
港股 7-8 月的"补涨窗口"和"新一轮大牛市"有什么区别？大摩为什么强调这个区别？	补涨窗口是资金从拥挤的 AI 硬件赛道撤退后的短期轮动承接，靠的是 Q2 业绩亮点、AI 预期改善、资金面回流三个边际改善因素；牛市信号需要更持续的驱动力和更广泛的确认。强调区别是因为 9 月之后能否延续取决于外围波动是否已被充分消化，这是开放问题——把补涨窗口线性外推成牛市判断，是转述时最容易踩的坑。	rDkMK20YHIk::综合::推
为什么说中国不会有第二个"924 时刻"？这个判断的对比基准是什么？	对比基准是 2024 年 Q2-Q3（触发 924 的那一轮）在通胀、财政、出口、社会反馈四个维度的状态：当时是深度通缩+税收暴跌+出口疲软+跨区执法引发强烈不满；而 2026 年 Q2 是 CPI/PPI 相对好看+税收正增长+出口异常强劲（15-20%）+社会反馈相对平静。四个维度都不同，所以判断不会重演同样的政策转向。但这是相对比较，不是绝对排除未来政策转向的可能性——决策层"有钱不花"更像是主动选择不急，而非被动无力。	rDkMK20YHIk::综合::推
本文哪些结论属于【测】而非【实】？请说出至少三条，并解释这个区分为什么在这篇文章里格外重要。	典型【测】：①DRAM 价格同比二阶导数预计 2026 年 9-10 月见顶；②大摩预测 BOJ 终端利率为 1.5%（2026 年 12 月、2027 年 6 月两次加息）；③厄尔尼诺预计 2026 年底达峰、推高 2027 年食品通胀；④未来全球 AI 版图将是两条路并行而非单极垄断。这些都是对未来价格、政策路径或格局走向的预测，当下都无法验证。 区分格外重要的原因是本文的转述链条比一般视频更长——大摩分析师原话 → 闭门会记录 → 频道剪辑转述 → 本文整理，每一层都可能有信息损耗或转述误差；再叠加内容本身大量是分析师的前瞻判断而非既成事实，如果把预测当结论说死，风险是双重的：既可能因为转述失真而讲错，也可能因为预测落空而被打脸。	rDkMK20YHIk::综合::测
厄尔尼诺和 AI 硬件降温这两条线，在"关键数字锚点"和"未来影响时点"上分别有什么共同的结构？	两条线的共同结构是"当下的信号，滞后的影响"：AI 硬件板块现在跌 20%，但真正的价格加速度拐点被判断在 2026 年 9-10 月，也就是几个月之后；厄尔尼诺现在（6-7 月）已经在西欧制造历史级高温，但它真正推高的食品通胀被判断落在 2027 年，是一年多之后。两者都提醒读者：不能用"现在发生了什么"直接倒推"影响已经price in"，滞后期本身就是需要跟踪的变量。	rDkMK20YHIk::综合::推
一句话讲清差别？	美国在优化"能不能扩张得更快"，	rDkMK20YHIk::辨析::推
为什么不能这样说：把"大摩认为"讲成"大摩确定"	近半结论是分析师前瞻预测（见顶时点、加息路径、厄尔尼诺 达峰），不是已发生事实	rDkMK20YHIk::纠错::推
为什么不能这样说：把"港股7-8月窗口"讲成"港股要进牛市"	原文明确区分"补涨窗口"和"牛市启动信号"，量级不同	rDkMK20YHIk::纠错::推
为什么不能这样说：把具体数字讲得过于精确	"1300亿""1140亿"多为估算口径，带上"据估算"再说	rDkMK20YHIk::纠错::推
