# youtube-digest 记忆卡组（草稿）
# 导入 Anki：文件 → 导入 → 字段分隔符 Tab → 允许 HTML 关闭 → 第三列映射为 Tags
# ⚠️ 这是机械生成的草稿，交付前必须人工过一遍：
#    删掉查表即可答的、合并语义重复的、把陈述句改成问句。
# 共 32 张（按优先级截断；另有 21 张候选未收录，--cap 0 可查看全部）
为什么说 AI 对金融的影响类似 PC 对衍生品市场的影响，而不是普通效率工具？	PC 普及让衍生品定价、实时交易和风控可执行，AI 也可能重构金融研究、交易、风控和生产资料结构。	uilXQ1AAru8::综合::推
本文哪些判断属于【测】而非【实】？为什么这个区分重要？	2026 真空期、2027 拐点、2030 应用泡沫、三星海力士可能闪崩都属于未来预测。区分重要，因为这些不能当成已发生事实引用。	uilXQ1AAru8::综合::推
为什么“产业没问题，公司没问题”仍可能出现闪崩？	因为价格也反映资金结构。高确定性资产吸引杠杆，承接消失时先出清杠杆，而非产业立即证伪。	uilXQ1AAru8::综合::推
商品通缩和服务通胀为什么可能同时出现？	AI 提高可复制商品/内容生产效率，但稀缺服务、经验、责任和不可复制场景可能更贵。	uilXQ1AAru8::综合::推
普通投资者参与 AI 周期，最关键的风险控制是什么？	不用生活钱、不加杠杆、接受真空期和剧烈回撤。长期看好产业不等于短期无风险。	uilXQ1AAru8::综合::推
为什么短流程业务更容易被 AI 改造成小团队或一人公司？	短流程责任链短、协作节点少、标准化程度高，工具效率提升可直接压缩人力；长链条机构仍受合规和责任约束。	uilXQ1AAru8::综合::推
为什么不能这样说：错误说法：AI 上游硬件要崩了。	正确说法：视频判断的是可能杠杆出清和杀估值，不是产业逻辑崩塌。	uilXQ1AAru8::纠错::推
为什么不能这样说：错误说法：2026 年 AI 周期结束。	正确说法：2026 可能是真空期，长周期可能仍有 6-8 年。	uilXQ1AAru8::纠错::推
为什么不能这样说：错误说法：英伟达 2024 闪崩说明基本面坏了。	正确说法：视频把它解释为高杠杆出清。	uilXQ1AAru8::纠错::推
PC普及推动金融衍生品落地——数值是多少？	70/80年代　【实】	uilXQ1AAru8::数字::实
「70/80年代」在本篇指的是什么？	PC普及推动金融衍生品落地　【实】	uilXQ1AAru8::数字反向::实
AI影响金融各环节的时间尺度——数值是多少？	5-10年　【测】（对外引用加「视频称」）	uilXQ1AAru8::数字::测
「5-10年」在本篇指的是什么？	AI影响金融各环节的时间尺度　【测】	uilXQ1AAru8::数字反向::测
AI早期幻想期——数值是多少？	2021年前　【推】（对外引用加「视频称」）	uilXQ1AAru8::数字::推
「2021年前」在本篇指的是什么？	AI早期幻想期　【推】	uilXQ1AAru8::数字反向::推
科技估值出清期——数值是多少？	2022年　【实】	uilXQ1AAru8::数字::实
「2022年」在本篇指的是什么？	科技估值出清期　【实】	uilXQ1AAru8::数字反向::实
视频称英伟达2022跌幅——数值是多少？	67%　【实】	uilXQ1AAru8::数字::实
「67%」在本篇指的是什么？	视频称英伟达2022跌幅　【实】	uilXQ1AAru8::数字反向::实
视频称ARK/木头姐相关跌幅——数值是多少？	75%　【实】	uilXQ1AAru8::数字::实
「75%」在本篇指的是什么？	视频称ARK/木头姐相关跌幅　【实】	uilXQ1AAru8::数字反向::实
上游硬件确定性牛市——数值是多少？	2023-2024　【推】（对外引用加「视频称」）	uilXQ1AAru8::数字::推
「2023-2024」在本篇指的是什么？	上游硬件确定性牛市　【推】	uilXQ1AAru8::数字反向::推
英伟达闪崩去杠杆参照点——数值是多少？	2024年7月　【推】（对外引用加「视频称」）	uilXQ1AAru8::数字::推
「2024年7月」在本篇指的是什么？	英伟达闪崩去杠杆参照点　【推】	uilXQ1AAru8::数字反向::推
英伟达市值量级口径——数值是多少？	3万亿　【推】（对外引用加「视频称」）	uilXQ1AAru8::数字::推
「3万亿」在本篇指的是什么？	英伟达市值量级口径　【推】	uilXQ1AAru8::数字反向::推
场外杠杆量级口径——数值是多少？	8000亿　【推】（对外引用加「视频称」）	uilXQ1AAru8::数字::推
「8000亿」在本篇指的是什么？	场外杠杆量级口径　【推】	uilXQ1AAru8::数字反向::推
韩国散户杠杆口径——数值是多少？	5倍　【推】（对外引用加「视频称」）	uilXQ1AAru8::数字::推
「5倍」在本篇指的是什么？	韩国散户杠杆口径　【推】	uilXQ1AAru8::数字反向::推
5倍杠杆下的爆仓跌幅量级——数值是多少？	20%　【推】（对外引用加「视频称」）	uilXQ1AAru8::数字::推
