[0:01-0:03] 感谢新浪财经的邀请
[0:03-0:07] 尊敬的香港金融界的各位领导人物翘楚
[0:07-0:11] 我想大家都已经意识到了刚才讲到的很多
[0:11-0:14] 我们提到的香港金融开放
[0:14-0:16] 中国的新制生产力出海
[0:16-0:19] 以及从能源转型到AI竞争
[0:19-0:22] 香港和中国内地各方面
[0:22-0:27] 从资本到技术到出海方面的制度对接
[0:27-0:29] 带来的很多机会
[0:29-0:32] 我的本行是做经济分析的
[0:32-0:34] 但是最近5到10年
[0:34-0:38] 经济分析不免也纳入了很多
[0:38-0:40] 对科技变化
[0:40-0:41] 对地缘政治
[0:41-0:45] 对一些产业变量带来的冲击的影响
[0:45-0:49] 今天我想简短地用15到20分钟
[0:49-0:52] 给大家正好趁着下半年
[0:52-0:57] 即将有一些影响经济政策运行的重要会议
[0:57-1:01] 也会因为上半年出现的种种新的情况
[1:01-1:02] 来做出一些调整
[1:02-1:04] 有何展望
[1:04-1:07] 这个暑期是不平静的
[1:07-1:09] 这个不平静不仅体现在
[1:09-1:11] 大家在香港金融市场上
[1:11-1:15] 感受到的最近有一些过山车式的
[1:15-1:17] 全球资本市场的震动
[1:17-1:19] 有点从今年上半年
[1:19-1:23] 单纯的使AI独武资金
[1:23-1:27] 大部分都涌向了看好AI算力这些赛道
[1:27-1:31] 以及呈现出来的全球市场中的共振
[1:31-1:34] 但是最近一两个月
[1:34-1:37] 好像这个现象遇到了很大的挑战
[1:37-1:39] 这背后是地缘政治
[1:39-1:43] 还是AI本身的科技叙事发生了变化
[1:43-1:47] 还是一些边际上流动性货币政策的影响呢
[1:47-1:49] 我想急者皆有
[1:49-1:52] 让我们首先从中国经济讲起来
[1:52-1:58] 昨天正好是中国公布了二季度GDP的数字
[1:58-2:01] 那么比一季度是有所放缓的
[2:01-2:02] 当然了
[2:02-2:04] 二季度正好是美伊战争
[2:04-2:05] 中东冲突
[2:05-2:09] 引发全球能源供应危机的时刻
[2:09-2:11] 所以全球经济都受到了影响
[2:11-2:12] 中国也不例外
[2:12-2:15] 实现百分之四点三
[2:15-2:17] 当然还算是有韧性
[2:17-2:20] 但关键是里面呈现出来的
[2:20-2:21] 免疫风化
[2:21-2:24] K型经济的现象引起重视
[2:24-2:26] 那么K型经济呢
[2:26-2:29] 好像很多人说这个词也听说了很久了
[2:29-2:30] 并不陌生
[2:30-2:31] 美国经济
[2:31-2:32] 欧洲经济
[2:32-2:35] 全球其他地方似乎也是如此
[2:35-2:37] AI投资如火如荼
[2:37-2:39] 但是别的领域呢
[2:39-2:40] 似乎呢
[2:40-2:41] 比较乏力
[2:41-2:45] 在这个过程中出现了一些收入风化的现象
[2:45-2:46] 大家把它称之为K型
[2:46-2:48] 但我想呢
[2:48-2:49] 还是要认真地看到
[2:49-2:52] 中国本身出现的K型风化的现象呢
[2:52-2:54] 我们面临的挑战
[2:54-2:55] 压力
[2:55-2:58] 最重要的一点就是
[2:58-3:01] 中国这个K型向上的这一批
[3:01-3:05] 就是我们经常说到的受益于全球AI投资
[3:05-3:08] 能源转型的这些先进制造业
[3:08-3:09] 新制生产力
[3:09-3:10] 它实际上啊
[3:10-3:13] 这一批还相对比较担保
[3:13-3:16] 那么他们还有一个共性的特点
[3:16-3:18] 就是都是资本
[3:18-3:19] 密集型
[3:19-3:23] 对广普的就业收入的低贯效应
[3:23-3:24] 一出效应
[3:24-3:26] 没有那么广泛
[3:26-3:27] 不像传统上
[3:27-3:29] 我们提到的消费
[3:29-3:30] 服务
[3:30-3:30] 地产
[3:30-3:32] 等等内需行业
[3:32-3:32] 那么
[3:32-3:33] 现在呢
[3:33-3:35] 是处于这个K型风化的
[3:35-3:37] 向下的这一批里面
[3:37-3:38] 他们比较沉重
[3:38-3:40] 因为他们大部分是
[3:40-3:40] 劳动力
[3:40-3:41] 所以
[3:41-3:43] 从最近大半年
[3:43-3:45] 我们观察到的现象就是
[3:45-3:47] 这种结构风化上
[3:47-3:48] 比较旺的部门
[3:48-3:49] 向出口
[3:49-3:51] 它每一个百分点的增长
[3:51-3:54] 似乎对内部的就业
[3:54-3:56] 收入预期的拉动效应
[3:56-3:57] 不如以往
[3:57-3:58] 这也是反映了
[3:58-4:00] 薪质生产力的一个特性
[4:00-4:02] 过于资本密集型
[4:02-4:03] 技术密集型
[4:03-4:05] 所以K型风化呢
[4:05-4:07] 很显然对我们提出了新的挑战
[4:07-4:11] 全球经济都有类似的现象
[4:11-4:12] 但不得不讲呢
[4:12-4:14] 对于中国来讲
[4:14-4:16] 我们从23年24年至今
[4:16-4:18] 恰好又赶上了
[4:18-4:18] 第一
[4:18-4:19] 房地产市场
[4:19-4:21] 依然在调整之中
[4:21-4:21] 第二
[4:21-4:25] 出现了一定程度的低物价循环的
[4:25-4:26] 陷阱的风险
[4:26-4:27] 第三呢
[4:27-4:29] 在这个过程中
[4:29-4:31] 如果政策面
[4:31-4:32] 我们有一些思维定势
[4:32-4:35] 过度的聚焦到供给端
[4:35-4:36] 那就是投资
[4:36-4:38] 来解决产业的问题
[4:38-4:39] 解决基建的问题
[4:39-4:40] 那可能呢
[4:40-4:43] 对于去重塑经济平衡
[4:43-4:44] 打破K型风化
[4:44-4:45] 有点
[4:45-4:46] 雪上加霜
[4:46-4:47] 所以我想呢
[4:47-4:52] 接下来会有很多值得大家参考的一些政策变化
[4:52-4:58] 特别明显的就是过去两天公布的155期间提振消费的规划
[4:58-5:08] 这也是可能过去几个五年规划到目前为止第一次把提振居民消费上升到了一个无以复加的高度
[5:08-5:10] 那么这个规划的出炉呢
[5:10-5:13] 反映了意识到了经济它需要更加平衡
[5:13-5:14] 眼条腿走路
[5:14-5:17] 如果没有强大的累虚消费
[5:17-5:19] 光靠新制生产力的出口
[5:19-5:23] 投资可能对就业收入的拉动不够强
[5:23-5:26] 甚至有可能过度的依赖了出口
[5:26-5:27] 外热累冷之后呢
[5:27-5:31] 也会遇上海外的一些地缘政治的反噬
[5:31-5:34] 所以155规划中对于居民消费呢
[5:34-5:36] 给予了很高的期望
[5:36-5:37] 这个过程中
[5:37-5:40] 我最看重的就是这两天出台的规划里面
[5:40-5:44] 提到了要增加公共财力
[5:44-5:47] 对于我们公共服务
[5:47-5:50] 对于社会保障这块的支出
[5:50-5:51] 那也就是说
[5:51-5:53] 从过去十几年
[5:53-5:55] 我们倾向于从财政到金融
[5:55-5:56] 各方面的资源
[5:56-5:58] 比较聚焦于供给团
[5:58-6:00] 抓生产搞建设
[6:00-6:02] 现在也聚焦于服务团
[6:02-6:05] 特别是对居民的社会保障这块
[6:05-6:07] 提升公共财政的支撑
[6:07-6:10] 这可能是最核心的一点表述
[6:10-6:15] 当然它具体落地实施的路线图时间表
[6:15-6:16] 还有待观察
[6:16-6:18] 但是这是非常好的一个表态
[6:18-6:20] 因为我们知道
[6:20-6:22] 影响消费的
[6:22-6:25] 这个所谓的路障是多重的
[6:25-6:26] 其中之一
[6:26-6:29] 当然是房地产市场连续五六年的调整
[6:29-6:30] 还在探索之中
[6:30-6:32] 从国际规律
[6:32-6:34] 中国经验
[6:34-6:35] 各个城市的库存
[6:35-6:38] 以及一些比如说租金回报率
