[0:00-0:02] 大家好,欢迎来到YouTube大佬偷镜
[0:02-0:05] 我们用一张PPT,讲透大佬的深度分析
[0:05-0:08] 今天是2026年7月15日
[0:08-0:10] 我们来分享副总前几天的一个访谈
[0:10-0:12] 完整视频有一个小时
[0:12-0:14] 是三个人聊的一个播客
[0:14-0:16] 我不能说另外两位不好
[0:16-0:19] 但是中间那个老是打断副总
[0:19-0:20] 一直插话
[0:20-0:22] 我个人不是非常满意
[0:22-0:25] 所以我们还是把副总的部分给剪出来了
[0:25-0:26] 做个副总纯净版
[0:26-0:28] 想看完整版的朋友
[0:28-0:30] 可以去内地的平台找一下
[0:30-0:31] 我们还是先看要点
[0:31-0:34] 副总众多擅长技能之一
[0:34-0:37] 类比70、80年代计算机革命的历史来对照
[0:37-0:39] 当时在金融业
[0:39-0:40] 手工计算无法满足
[0:40-0:42] 衍生品定价
[0:42-0:43] 实时交易
[0:43-0:44] 风控需求
[0:44-0:46] PC的普及才让金融衍生品
[0:46-0:48] 从课本落地为市场主流
[0:48-0:50] 实际上现在的AI
[0:50-0:52] 还是在同一个演化路径上
[0:52-0:54] 从以前的手工计算
[0:54-0:55] 到程序化交易
[0:55-0:56] 到量化交易
[0:56-0:59] 以及最近的AI智能交易
[0:59-1:00] 它预判未来5到10年
[1:00-1:05] AI将对金融各个环节实现颠覆式的创新
[1:05-1:07] 算力或将取代大宗商品
[1:07-1:09] 成为核心的生产资料
[1:09-1:11] 这里我给大家透露一点
[1:11-1:13] AI对我个人的投资和交易
[1:13-1:16] 可以说也产生了颠覆性的影响
[1:16-1:18] 而且收益是提高非常明显
[1:18-1:21] 是在剔除了大盘的影响之后
[1:21-1:24] 的确最近几个月也是比较忙
[1:24-1:25] 花了很多时间在上面
[1:25-1:28] 实际上不一定要很多的技术
[1:28-1:30] 数学模型什么的
[1:30-1:30] 不一定的
[1:30-1:32] 哪怕你在内地用的是
[1:32-1:35] 被大家批的体无完肤的豆包
[1:35-1:36] 你问问题
[1:36-1:38] 或者研究某个问题的时候
[1:38-1:39] 就多带一句话
[1:39-1:40] 你说豆包
[1:40-1:43] 你给我剔除官方八股文套话
[1:43-1:44] 营销话术
[1:44-1:47] 以及券商机构的车轱辘话
[1:47-1:51] 给我做个理性中立和结构化的分析
[1:51-1:54] 看空和看多的理由要分开列出
[1:54-1:56] 就加这么一句话
[1:56-1:59] 你很可能就超过95%的散户了
[1:59-2:00] 我不是开玩笑的
[2:00-2:01] 你可以尝试一下
[2:01-2:02] 我们接着看要点
[2:02-2:04] 关于岗位替代的恐惧
[2:04-2:06] 主要谈了金融业的
[2:06-2:08] 他表示基础重复性岗位
[2:08-2:10] 如实习生数据整理
[2:10-2:12] 初级研究员的标准化报告
[2:12-2:14] 容易被AI替代
[2:14-2:15] 人类需求会收缩
[2:15-2:17] 而资深研究员的核心价值
[2:17-2:19] 会被保留
[2:19-2:20] 从业资质
[2:20-2:21] 行业经验
[2:21-2:22] 逻辑教验
[2:22-2:23] 风险决策
[2:23-2:24] 人负责把控AI输出的
[2:24-2:27] 底层逻辑和数据的真实性
[2:27-2:29] 我本人是举双手同意
[2:29-2:31] 上面提到的问问题的技巧
[2:31-2:33] 就是很有价值的经验
[2:33-2:34] 而这只是冰山一角
[2:34-2:37] 所以新韭菜交学费很正常
[2:37-2:39] 下面一条比较重要
[2:39-2:41] 他说行业会分化
[2:41-2:43] 短流程业务会走向一人公司
[2:43-2:44] 小型工作室
[2:44-2:45] 长链条
[2:45-2:47] 大型机构仍保留完整的
[2:47-2:49] 合规的人工流程
[2:49-2:51] 我们以前讨论过小型的基金
[2:51-2:52] 做量化的
[2:52-2:53] 无论什么策略
[2:53-2:55] 两三个人就可以干
[2:55-2:55] 就是这个
[2:55-2:57] 极短的流程
[2:57-2:58] 极度的扁平
[2:58-2:59] 快速的决策
[2:59-3:01] 他认为传统的通胀模型
[3:01-3:03] 可能需要迭代了
[3:03-3:04] 应该考虑商品家
[3:04-3:05] 人力服务的
[3:05-3:07] 双维度通胀模型
[3:07-3:09] AI带来了商品通缩的压力
[3:09-3:12] 同时推升人力服务通胀
[3:12-3:15] 二者迭加才是真实的通胀水平
[3:15-3:18] 单纯依靠商品降价判断货币政策
[3:18-3:20] 降息周期存在严重偏差
[3:20-3:22] 这里我认为有待商榷
[3:22-3:23] 为什么呢
[3:23-3:24] 因为最终数据
[3:24-3:27] 实际上还是会反映在服务业价格
[3:27-3:30] 所以模型似乎不需要改变
[3:30-3:31] 不知道我的理解有没有问题
[3:31-3:34] 副总分享的AI产业链的完整周期
[3:34-3:35] 这个很有参考意义
[3:35-3:38] 2021年前是早期幻想期
[3:38-3:40] AI无落地路径
[3:40-3:42] 那时候的ARK基金
[3:42-3:43] 也就是木头姐的
[3:43-3:44] 压住全科技赛道
[3:44-3:46] 靠估值拉涨
[3:46-3:47] 规模逼近万亿
[3:47-3:49] 2022年是估值初清期
[3:49-3:51] 流动性收紧
[3:51-3:52] 以及无落地产品
[3:52-3:55] 英伟达和ARK都经历了暴跌
[3:55-3:57] 然后是2023年到2024年的
[3:57-3:59] 上游硬件牛市
[3:59-4:00] Chain GPT落地
[4:00-4:01] 算力芯片暴涨
[4:01-4:03] 2024年下半年
[4:03-4:05] 至今的存储接力炒作
[4:05-4:07] 三星海力士承接自新
[4:07-4:09] 韩国散户高杠杆持仓
[4:09-4:11] 不光是韩国散户了
[4:11-4:13] 东方大国的散户也是
[4:13-4:14] 短期暴跌风险大
[4:14-4:16] 2026年就是当下
[4:16-4:17] 副总称为真空气
[4:17-4:19] 表现为算力基建完工
[4:19-4:21] 但盈利应用缺位
[4:21-4:23] 大厂现金流枯竭
[4:23-4:25] 靠发债IPO续命
[4:25-4:26] 资金红稀
[4:26-4:28] 导致软件持续走弱
[4:28-4:28] 副总认为
[4:28-4:30] 年末上游硬件
[4:30-4:31] 大概率杀估值
[4:31-4:32] 去杠杆
[4:32-4:33] 这里注意
[4:33-4:34] 这个提醒非常重要
[4:34-4:36] 2027年是周期拐点
[4:36-4:38] 企业现金流修复
[4:38-4:39] 等待爆款应用
[4:39-4:41] 打通全产业链
[4:41-4:43] 就最终要用户付费了
[4:43-4:44] 远期预判
[4:44-4:47] 2030年下游应用进入泡沫期
[4:47-4:49] 整体AI大周期
[4:49-4:50] 还剩6到8年
[4:50-4:52] 对个人投资者来说
[4:52-4:53] 很有参考作用
[4:53-4:55] 普通投资者应该如何应对
[4:55-4:56] 副总建议
[4:56-4:58] 长期看好AI产业
[4:58-4:59] 可以长线布局
[4:59-5:01] 但严禁加杠杆
[5:01-5:03] 科技股回调幅度极大
[5:03-5:05] 加杠杆亦深度亏损
[5:05-5:06] 每一代投资者
[5:06-5:09] 都会经历一轮周期泡沫洗礼
[5:09-5:11] 历史底层的逻辑不会改变
[5:11-5:13] 仅仅更换技术的载体
[5:13-5:14] 再读一遍
[5:14-5:15] 每一代投资者
[5:15-5:18] 都会经历一轮周期泡沫的洗礼
[5:18-5:21] 历史底层逻辑不会改变
[5:21-5:23] 仅仅更换技术载体
[5:23-5:25] 好要点我们今天就分享到这里
[5:25-5:27] 接下来是副总的纯净版
[5:27-5:28] 请有空的朋友继续
[5:28-5:30] 这里是YouTube大佬透镜
[5:30-5:31] 我们致力于过滤垃圾信息
[5:31-5:33] 挖掘优质内容
[5:33-5:34] 欢迎订阅转发常来
[5:34-5:36] 算法下次就会把我们的更新
[5:36-5:38] 直接推到您的屏幕上
[5:38-5:40] 省得您去打字去搜索了
[5:40-5:41] 谢谢大家的观看
[5:41-5:42] 我这儿其实准确说
[5:42-5:43] 我谈不上叫内容创作者
[5:43-5:45] 本质上都是孩子们在创业
[5:45-5:47] 我就纯粹属于牛马
[5:47-5:48] 在打这个配套
[5:48-5:49] 从我的角度来讲
[5:49-5:51] 还是聊聊关于金融行业
[5:51-5:52] 在70年代80年代
[5:52-5:53] 上一场技术革命
[5:53-5:56] 也就是以计算机为主的时代
[5:56-5:59] 大家开始使用个人PC的环境下
[5:59-6:00] 我们的金融行业发生的
[6:00-6:02] 我认为是二战后最重要的
[6:02-6:04] 一次算是质变
[6:04-6:07] 因为随着计算机的这种普及
[6:07-6:07] 实际上金融衍生化
[6:07-6:09] 才能真正一场的出来
[6:09-6:11] 就像我们很多大学的教科书里边
[6:11-6:11] 对吧
[6:11-6:13] 你去算一个期权
[6:13-6:14] 好的家伙
[6:14-6:15] 你如果用笔纸去算
[6:15-6:16] 等你算完了
[6:16-6:17] 那边基准价格可能就已经变了
[6:17-6:19] 这根本不适合用于
[6:19-6:20] 我们说金融市场
[6:20-6:22] 去报价定价交易
[6:22-6:23] 更不也提这个风险管理了
[6:23-6:25] 所以说你如果没有计算机的
[6:25-6:26] 大规模普及
[6:26-6:27] 其实本质上来讲
[6:27-6:30] 就不会将课本中的金融衍生
[6:30-6:31] 给它真正一场
[6:31-6:33] 变成一种我们说金融市场
[6:33-6:34] 在计算机早期
[6:34-6:35] 你就是程序化
[6:35-6:36] 你在后头就要量化
[6:36-6:37] 你再往后是讲
[6:37-6:39] 可能就是AI确定A准备
[6:39-6:39] 直接介入了
[6:39-6:41] 最多5年10年的左右时间
[6:41-6:44] 这个叫以AI为代表的
[6:44-6:45] 会在金融的各个层面上
[6:45-6:48] 去进行所谓的叫颠覆式创新
[6:48-6:49] 实际上你看现在包括有些交易所
[6:49-6:50] 已经在发生变化了
[6:50-6:53] CME已经在推所谓的叫算力期货
[6:53-6:54] 因为他也意识到了
[6:54-6:56] 将来可能最重要的生产资料
[6:56-6:58] 不再是这些大众商品了
[6:58-6:59] 很有可能变成算力的
[6:59-7:00] 比如说证券交易所
[7:00-7:01] 纽交所等等
[7:01-7:02] 他也发现了
[7:02-7:03] 以前我中间可能还要休息一下
[7:03-7:05] 我以后可能直接去做
[7:05-7:06] 24小时
[7:06-7:08] 7天这种交易了
[7:08-7:09] 所以实际上都在变
[7:09-7:10] 这一刻我真的确实感受到
[7:10-7:11] 可能行业会被受到冲击了
[7:11-7:12] 就是就业的情况
[7:12-7:13] 但还好不用担心
[7:13-7:15] 这个事我倒跟你讲
[7:15-7:16] 不用那么的焦虑
[7:16-7:17] 因为将来我来跟你讲
[7:17-7:18] 就是七鼠的发展
[7:18-7:20] 后边一定是监管的跟上
[7:20-7:23] 因为AI和人最大的区别
[7:23-7:26] 翻译成人话就是
[7:26-7:27] AI不担责
[7:27-7:28] 人要担责
[7:28-7:29] 所以最后是会变成这样的
[7:29-7:32] 就是每个人去做自己的学习库
[7:32-7:34] 去做自己的研究
[7:34-7:35] 没有任何问题
[7:35-7:37] 但是你如果想生成报告
[7:37-7:39] 去进行发布
[7:39-7:39] 对不起
[7:39-7:41] 一定要去AI化
[7:41-7:41] 这个没办法的
[7:41-7:43] 因为有人说是个效率的问题
[7:43-7:44] 其实不是效率
[7:44-7:45] 其实是责任的问题
[7:45-7:47] 第一咱不说AI有幻觉
[7:47-7:48] 就是你哪怕是征流了自己
[7:48-7:49] 你出来的东西
[7:49-7:51] 如果直接的去投放到市场上
[7:51-7:52] 如果产生了问题
[7:52-7:54] 这个东西谁去担责
[7:54-7:55] 如果老百姓自己分享
[7:55-7:56] 那无所谓了
[7:56-7:57] 我自己做做研究
[7:57-7:58] 做做学习库
[7:58-7:59] 我去分享分享
[7:59-8:00] 这个没有任何问题
[8:00-8:02] 但是你如果是作为金融机构
[8:02-8:03] 将来去发布信息
[8:03-8:04] 换句话说
[8:04-8:05] 这儿一定会要求你合规
[8:05-8:07] 实际上将来机构里的研究员
[8:07-8:08] 最大的价值实际上
[8:08-8:09] 就是他从业资格
[8:09-8:11] 这里边的行业实际上会保留
[8:11-8:13] 就可能没那么多人了
[8:13-8:14] 你比如说以前
[8:14-8:15] 像券商金融机构
[8:15-8:17] 可能一个研究员
[8:17-8:19] 利用点叫实习生
[8:19-8:19] 对吧
[8:19-8:20] 然后去做
[8:20-8:22] 现在可能实习生的岗位会没了
[8:22-8:24] 你就变成我可能用AI去做
[8:24-8:25] 但它一定要合
[8:25-8:26] 它的逻辑
[8:26-8:26] 它的数据
[8:26-8:28] 它要一步一步合
[8:28-8:29] 单位劳动力的产出增加
[8:29-8:31] 实际上是个效率问题
[8:31-8:32] 然后剩下的是个流程的问题
[8:32-8:34] 就是只有那种
[8:34-8:35] 本身流程就很短的
[8:35-8:36] 它才会进入到
[8:36-8:38] 这种所谓的小规模
[8:38-8:39] 这种企业化
[8:39-8:40] 或者是以个体
[8:40-8:42] 一人公司化这种模型
[8:42-8:44] 只有流程非常短的
[8:44-8:45] 链才会这么做
[8:45-8:46] 场链条的机构
[8:46-8:46] 首先第一点
[8:46-8:47] 他还提到了
[8:47-8:48] 就是要对
[8:48-8:49] 我们说通胀的影响要素
[8:49-8:51] 要重新的去定义和架构
[8:51-8:53] 刚才讲到的效率的提高
[8:53-8:54] 就是生产力
[8:54-8:56] 然后带来的这种效率的提高
[8:56-8:57] 带来产出的增加
[8:57-8:59] 就是刚才你讲的这个逻辑
[8:59-9:00] 商品在变多
[9:00-9:02] 那是不是东西会变得便宜
[9:02-9:04] 东西变得便宜不等于通胀
[9:04-9:06] 因为通胀的定义中间
[9:06-9:07] 我们说商品是占一部分比重
[9:07-9:10] 但同时服务也占一层比重
[9:10-9:11] 也就是人的价值
[9:11-9:12] 也占一层比重
[9:12-9:13] 就是整个这个流程
[9:13-9:15] 在通购的过程中
[9:15-9:17] 每个人的单位价值是不是提高了
[9:17-9:19] 也就代表每个人的收入在增加
[9:19-9:21] 只要不卷
[9:21-9:22] 这个里边一定不能卷
[9:22-9:24] 因为卷就会出现非常麻烦的
[9:24-9:26] 就是你的劳动成果是同缩的
[9:26-9:28] 我给你举个短流程的
[9:28-9:29] 就AI的例子
[9:29-9:30] 其实现在已经有了
[9:30-9:31] 慢剧
[9:31-9:32] 你是不是看到中文在线
[9:32-9:34] 现在做的数据统计
[9:34-9:36] 中国现在55%的token使用
[9:36-9:37] 到底去了哪
[9:37-9:38] 不是去软件扣定
[9:38-9:40] 软件扣定大概只有15%还是20%
[9:40-9:41] 对
[9:41-9:44] 大头是AI慢剧545战斗了
[9:44-9:45] 当然你现在
[9:45-9:47] 比如说你跑到什么平台上去看
[9:47-9:48] 你会发现
[9:48-9:49] 那个迭代速度现在非常的快
[9:49-9:50] 效率也极高
[9:50-9:52] 原来可能100级的剧
[9:52-9:53] 可能以前要做几个月
[9:53-9:54] 现在我跟你讲
[9:54-9:55] 就一两周就更新了
[9:55-9:57] 但大问题马上就来了
[9:57-9:58] 效率提高了
[9:58-9:59] 生产出这么多的剧
[9:59-10:01] 怎么挣钱
[10:01-10:02] 同质化也严重
[10:02-10:04] 所以你会发现这个链条就出问题了
[10:04-10:05] 在整个宏观经济中间
[10:05-10:07] 以前叫人和资本
[10:07-10:09] 劳动力加资本这两个核心要素
[10:09-10:11] 将来会出现一个变量
[10:11-10:13] 就是劳动力这个变量
[10:13-10:14] 是不是还是最重要的生产要素
[10:14-10:16] 这个会是人工智能时代
[10:16-10:17] 重点的一个颠覆
[10:17-10:18] 它一旦颠覆掉
[10:18-10:19] 劳动力就会出现
[10:19-10:21] 如果劳动力比生机是紧的
[10:21-10:22] 就是人少
[10:22-10:24] 效率高
[10:24-10:25] 人的价值会提高的
[10:25-10:26] 美国你现在其实能看到
[10:26-10:27] 就是那种情况
[10:27-10:30] 就是硅谷的活下来的马农们
[10:30-10:31] 将来收入很高
[10:31-10:33] 但同时你放心
[10:33-10:34] 你如果想请一个人
[10:34-10:37] 给你去清理你家草皮
[10:37-10:38] 依旧会很贵
[10:38-10:40] 你如果能够效率大幅度提高的时候
[10:40-10:42] 它的服务价格一定15美金
[10:42-10:43] 变成150美金
[10:43-10:45] 所以它那个服务价格的上涨
[10:45-10:47] 会成为通胀因素变量中
[10:47-10:49] 最核心的而不是商品
[10:49-10:50] 所以凯文沃斯讲的两头
[10:50-10:52] 其实并不冲突的
[10:52-10:54] 他这头讲的是关于商品
[10:54-10:57] 就AI带来的商品的效率的提升
[10:57-10:58] 还能的增加
[10:58-11:01] 但另外一头他带来的是人的变量
[11:01-11:02] 你把它组合在一起
[11:02-11:03] 才是真正以上的通胀
[11:03-11:05] 不是单一的说商品便宜了就通胀
[11:05-11:06] 减少了就可以降息了
[11:06-11:07] 不不不
