# youtube-digest 记忆卡组（草稿）
# 导入 Anki：文件 → 导入 → 字段分隔符 Tab → 允许 HTML 关闭 → 第三列映射为 Tags
# ⚠️ 这是机械生成的草稿，交付前必须人工过一遍：
#    删掉查表即可答的、合并语义重复的、把陈述句改成问句。
# 共 32 张（按优先级截断；另有 18 张候选未收录，--cap 0 可查看全部）
为什么这条视频不能只理解为“Hasan 和主持人吵巴以”？	因为它有三层结构：英国 Home Office 禁入事件、LBC 采访中的政治立场追问、Hasan 直播复盘中的剪辑/音量指控。只看巴以争论会漏掉自由表达与媒体呈现这两层。	BV1x4EE6GE8h::综合::推
Lewis 与 Hasan 在 Holocaust 类比问题上的核心差异是什么？	Lewis 强调类比会冒犯、误导，并可能滑向反犹；Hasan 强调比较不是等同，Holocaust scholarship 的功能是识别并阻止类似机制再次出现。	BV1x4EE6GE8h::综合::推
Hamas 争论中，双方使用了哪两种不同的道德框架？	Lewis 使用行为伦理框架：故意杀害平民不可辩护；Hasan 使用结构责任框架：占领与权力不对称制造暴力条件，主要责任在占领方。	BV1x4EE6GE8h::综合::推
为什么 Hasan 认为剪辑和压低音量不是单纯技术问题？	因为他认为这些操作发生在关键论证处，改变了观众能否听见他的完整论点；它与政府禁入一起构成“让某种声音不可见/不可听”的叙事。	BV1x4EE6GE8h::综合::推
本文哪些判断属于【推】而非【实】？为什么要区分？	例如“Lewis 在 tone policing”“LBC 剪辑改变论证力量”“自由主义原则在压力下退让”都属于分析推断，不是可直接证明的事实。区分是为了避免把作者解读伪装成 transcript 事实。	BV1x4EE6GE8h::综合::推
“gay techno-fascism”在视频里承担什么功能？	它不是主线事实，而是 Hasan 的概念标签，用来批评某些支持有限身份自由、同时容忍技术资本与威权政治结合的自由派/科技圈政治。	BV1x4EE6GE8h::综合::推
一句话讲清差别？	Lewis 争“这个类比会不会越界”，Hasan 争“为什么不能用历史类比预警”。	BV1x4EE6GE8h::辨析::推
为什么不能这样说：说 Hasan 认为 Gaza 和 Holocaust 完全一样。	正确说法：他说比较不是等同，但可作为预警。	BV1x4EE6GE8h::纠错::推
为什么不能这样说：说 Lewis 只是替以色列洗地。	正确说法：他从冒犯、反犹风险、平民伦理和安全问题追问。	BV1x4EE6GE8h::纠错::推
为什么不能这样说：把 Hamas 段落切成“Hasan 支持 Hamas”。	正确说法：他用反殖民/占领框架辩护抵抗原则，同时承认平民死亡错误。	BV1x4EE6GE8h::纠错::推
为什么不能这样说：把剪辑指控当事实。	正确说法：这是 Hasan 的判断，需完整版本核验。	BV1x4EE6GE8h::纠错::推
视频时长——数值是多少？	86:51　【实】	BV1x4EE6GE8h::数字::实
「86:51」在本篇指的是什么？	视频时长　【实】	BV1x4EE6GE8h::数字反向::实
Hasan 被撤销的英国入境许可——数值是多少？	ETA　【推】（对外引用加「视频称」）	BV1x4EE6GE8h::数字::推
「ETA」在本篇指的是什么？	Hasan 被撤销的英国入境许可　【推】	BV1x4EE6GE8h::数字反向::推
原计划参与/相关活动——数值是多少？	Oxford Union　【推】（对外引用加「视频称」）	BV1x4EE6GE8h::数字::推
「Oxford Union」在本篇指的是什么？	原计划参与/相关活动　【推】	BV1x4EE6GE8h::数字反向::推
Hamas/Israel 争论核心节点——数值是多少？	October 7　【实】	BV1x4EE6GE8h::数字::实
「October 7」在本篇指的是什么？	Hamas/Israel 争论核心节点　【实】	BV1x4EE6GE8h::数字反向::实
Lewis 提到 Hamas charter 旧版本——数值是多少？	1988　【实】	BV1x4EE6GE8h::数字::实
「1988」在本篇指的是什么？	Lewis 提到 Hamas charter 旧版本　【实】	BV1x4EE6GE8h::数字反向::实
Hasan 提到 Hamas charter 更新——数值是多少？	2017　【实】	BV1x4EE6GE8h::数字::实
「2017」在本篇指的是什么？	Hasan 提到 Hamas charter 更新　【实】	BV1x4EE6GE8h::数字反向::实
Hasan 描述占领/压迫时间尺度——数值是多少？	75/80年　【推】（对外引用加「视频称」）	BV1x4EE6GE8h::数字::推
「75/80年」在本篇指的是什么？	Hasan 描述占领/压迫时间尺度　【推】	BV1x4EE6GE8h::数字反向::推
Hasan 口述保守估计死亡数字——数值是多少？	75000　【推】（对外引用加「视频称」）	BV1x4EE6GE8h::数字::推
「75000」在本篇指的是什么？	Hasan 口述保守估计死亡数字　【推】	BV1x4EE6GE8h::数字反向::推
Hasan 称同性恋在 Gaza 可判年限——数值是多少？	10年　【实】	BV1x4EE6GE8h::数字::实
「10年」在本篇指的是什么？	Hasan 称同性恋在 Gaza 可判年限　【实】	BV1x4EE6GE8h::数字反向::实
ETA 撤销——一句话解释？	英国取消 Hasan 入境许可。重要在于：事件入口	BV1x4EE6GE8h::概念::推
Tone policing——一句话解释？	把争论焦点从事实转为语气是否得体。重要在于：Hasan 认为 Lewis 在做这个	BV1x4EE6GE8h::概念::推
Holocaust comparison——一句话解释？	用 Holocaust/Nazi Germany 作为当下政治警示。重要在于：全片核心争点	BV1x4EE6GE8h::概念::推
