# youtube-digest 记忆卡组（草稿）
# 导入 Anki：文件 → 导入 → 字段分隔符 Tab → 允许 HTML 关闭 → 第三列映射为 Tags
# ⚠️ 这是机械生成的草稿，交付前必须人工过一遍：
#    删掉查表即可答的、合并语义重复的、把陈述句改成问句。
# 共 32 张（按优先级截断；另有 17 张候选未收录，--cap 0 可查看全部）
朋友说"Kimi K3 都开源了，训练数据肯定也随便看"。请用"七步流程"框架指出这句话错在哪，并说明哪家模型才是他以为的那种"开源"。	七步流程中，K3 这类开放权重模型公开的只是⑤权重（2.8 万亿个浮点数）+推理代码，外加技术报告与部分基础设施工具（MoonEP/FlashKDA/AgentEnv）；①训练数据与④完整训练流程仍是最核心的商业机密，并不公开。他以为的"训练数据、训练代码、存档、报告全公开"是完全开源（Open Source），行业代表是 Ai2 的 OLMo 系列。	NEHcGq80GQ0::综合::推
Meta 和 DeepSeek 都被叫作"开放权重"，为什么视频说 DeepSeek 是"Plus 版本"？请从至少两个开放维度对比。	维度一：技术报告。Meta 从 Llama 1–3 还有较详细报告，Llama 4 只剩一篇简短博客；DeepSeek V3/R1 把 MoE 设计、MLA、FP8 稳定实现、路线取舍等很少公开的细节几乎全写了出来。维度二：工程工具链。Meta 的内部工具链从未开放；DeepSeek 陆续开源 DeepEP、FlashMLA 等组件，把内部工程经验变成行业工具。所以差异不在"是否开放权重"，而在开放了多少权重之外的东西。	NEHcGq80GQ0::综合::推
为什么月活 1 亿、月收入 2000 万美元、12 个月 2000 万美元这三个数字要放在一起记？各卡住谁？	三者都是 Kimi K3 License 的门槛：月活超 1 亿或月收入超 2000 万美元的产品→必须在界面显著展示"Kimi K3"标识（卡大型应用）；做 MaaS 托管生意且连续 12 个月总收入超 2000 万美元→必须与月之暗面另行签商业协议（卡转售 token 的云厂/MaaS 厂）。对中小企业与普通开发者，体验接近 MIT、免费商用。设计意图是散户免费、大户付费，防止云厂 free ride。	NEHcGq80GQ0::综合::推
云厂商和 MaaS 厂商按 K3 许可证要向月之暗面交钱，嘉宾为什么说他们"应该非常欢迎"？	因为被收费意味着与 Kimi 存在官方认证关系：Kimi 有 vendor verification（供应商验证）流程，类似"Intel Inside"，过了验证的厂商卖出的 token 在准确性、性能上获得官方保证与背书，消费者也知道该买谁家的 token。交钱买到的是差异化资质，而不是纯粹成本。	NEHcGq80GQ0::综合::推
英伟达、微软、Palantir 都加入了黄仁勋牵头的开源联盟，三家的动机分别是什么？这与联盟宣言的哪个口号形成反差？	微软等云厂商：客户部署 OpenAI、Llama、DeepSeek 还是 Kimi 都行，只要跑在自家云上就获益（模型无关的收租逻辑）。英伟达等基础设施公司：开放权重让更多企业、开发者、国家自建部署，每次部署、微调、推理都带来算力需求——"不在乎谁能挖到金子，重要的是卖更多铲子"。Palantir/Databricks 等应用公司：模型越开放，可服务的客户与场景越多。反差在于宣言谈的是安全、AI 创新与 AI 主权，成员构成却显示每一方都有直接商业利益。	NEHcGq80GQ0::综合::推
本文哪些关键论断属于【推】而非【实】？请举两例并说明为什么这个区分在"Anthropic 为什么缺席"这个话题上特别重要。	例一："Anthropic 坚持不开源更多出自商业利益考量"是【推】——视频原话就是"也有很多人认为"，属于对动机的推测而非可查证事实；其官方理由（安全风险、蒸馏）反而是【实】（确有其文）。例二："云厂和 MaaS 厂非常欢迎 Kimi 来收钱"也是【推】（嘉宾观点，非厂商公开表态）。这个区分重要是因为：把动机推测当事实说死，就等于替 Anthropic 承认了"借口"；而把官方表态当全部真相，又忽略了闭源护城河的真实利益结构。转述时必须保留"有分析认为"的措辞。	NEHcGq80GQ0::综合::实
一句话讲清差别？	开放权重送"答案"，完全开源连"解题	NEHcGq80GQ0::辨析::推
为什么不能这样说：许可证张冠李戴：DeepSeek=MIT、Qwen=Apache 2.0、	K3=自设门槛 License、Llama=限制最多的自定协议 四家四种，混说必错。	NEHcGq80GQ0::纠错::推
为什么不能这样说："收入超 2000 万美元就禁止使用 K3"	错。门槛①月活超1亿/月收入超2000万美元→展示标识； 门槛②MaaS 12个月总收入超2000万美元→另行签约。 是署名/签约义务，不是禁令。	NEHcGq80GQ0::纠错::推
为什么不能这样说：把 2.8 万亿说成"训练数据量"	2.8 万亿是 K3 权重的参数（浮点数）数量； 视频特别强调参数规模≠数据大小。	NEHcGq80GQ0::纠错::推
