# youtube-digest 记忆卡组（草稿）
# 导入 Anki：文件 → 导入 → 字段分隔符 Tab → 允许 HTML 关闭 → 第三列映射为 Tags
# ⚠️ 这是机械生成的草稿，交付前必须人工过一遍：
#    删掉查表即可答的、合并语义重复的、把陈述句改成问句。
# 共 32 张（按优先级截断；另有 23 张候选未收录，--cap 0 可查看全部）
一句话讲清差别？	K 型向上是"资本密集型的新质生产力"，向下是"劳动密集型的内需"——前者赚钱但不拉动就业，后者拉动就业但在调整。	if4FrsR3qb4::辨析::推
为什么不能这样说：美国经济被 AI 冲击更惨是因为技术不行。	是它 40% 劳动力处易被替代的专业服务业，就业结构脆弱，不是技术落后。	if4FrsR3qb4::纠错::推
为什么不能这样说：十五五把提振消费"提到了历史最高"。	是历次五年规划中"第一次把居民消费抬到无以复加的高度"，别外延成"史上最高"。	if4FrsR3qb4::纠错::推
为什么不能这样说：美国 AI 投资"上万亿美元"打了水漂。	上万亿美元级是计划量级（口播含糊）；流产的是约 1600 亿美元、近四分之一项目。	if4FrsR3qb4::纠错::推
为什么不能这样说：中国靠"没有通胀"躲过能源冲击。	靠的是绿色能源转型（新能源、绿电、储能）扛住供给冲击。	if4FrsR3qb4::纠错::推
二季度 GDP 同比，较一季度放缓——数值是多少？	4.3%　【实】	if4FrsR3qb4::数字::实
「4.3%」在本篇指的是什么？	二季度 GDP 同比，较一季度放缓　【实】	if4FrsR3qb4::数字反向::实
美国战略原油储备——数值是多少？	3.2 亿桶　【推】（对外引用加「视频称」）	if4FrsR3qb4::数字::推
「3.2 亿桶」在本篇指的是什么？	美国战略原油储备　【推】	if4FrsR3qb4::数字反向::推
上述储备历史分位——数值是多少？	43 年最低　【推】（对外引用加「视频称」）	if4FrsR3qb4::数字::推
「43 年最低」在本篇指的是什么？	上述储备历史分位　【推】	if4FrsR3qb4::数字反向::推
美持续耗库/能源冲击时长——数值是多少？	5 个月　【推】（对外引用加「视频称」）	if4FrsR3qb4::数字::推
「5 个月」在本篇指的是什么？	美持续耗库/能源冲击时长　【推】	if4FrsR3qb4::数字反向::推
去年美国被搁置/流产 AI 项目占比——数值是多少？	近四分之一　【推】（对外引用加「视频称」）	if4FrsR3qb4::数字::推
「近四分之一」在本篇指的是什么？	去年美国被搁置/流产 AI 项目占比　【推】	if4FrsR3qb4::数字反向::推
对应流产金额——数值是多少？	1600 亿美元　【推】（对外引用加「视频称」）	if4FrsR3qb4::数字::推
「1600 亿美元」在本篇指的是什么？	对应流产金额　【推】	if4FrsR3qb4::数字反向::推
美国劳动力中易被 AI 冲击岗位占比——数值是多少？	40%　【推】（对外引用加「视频称」）	if4FrsR3qb4::数字::推
「40%」在本篇指的是什么？	美国劳动力中易被 AI 冲击岗位占比　【推】	if4FrsR3qb4::数字反向::推
灵活就业+外出农民工规模——数值是多少？	3 点几亿　【推】（对外引用加「视频称」）	if4FrsR3qb4::数字::推
「3 点几亿」在本篇指的是什么？	灵活就业+外出农民工规模　【推】	if4FrsR3qb4::数字反向::推
中国年度贸易顺差量级——数值是多少？	一点几万亿美元　【推】（对外引用加「视频称」）	if4FrsR3qb4::数字::推
「一点几万亿美元」在本篇指的是什么？	中国年度贸易顺差量级　【推】	if4FrsR3qb4::数字反向::推
债券通运行年数——数值是多少？	9 年　【实】	if4FrsR3qb4::数字::实
「9 年」在本篇指的是什么？	债券通运行年数　【实】	if4FrsR3qb4::数字反向::实
地产调整的国际两种时长——数值是多少？	5-6 年/十几年　【推】（对外引用加「视频称」）	if4FrsR3qb4::数字::推
「5-6 年/十几年」在本篇指的是什么？	地产调整的国际两种时长　【推】	if4FrsR3qb4::数字反向::推
政策到位下地产企稳预测时点——数值是多少？	2027 年　【测】（对外引用加「视频称」）	if4FrsR3qb4::数字::测
「2027 年」在本篇指的是什么？	政策到位下地产企稳预测时点　【测】	if4FrsR3qb4::数字反向::测
K 型经济——一句话解释？	复苏中不同部门走势分化成"K"字两笔。重要在于：总量数据会掩盖真实就业与收入压力	if4FrsR3qb4::概念::推
新质生产力——一句话解释？	以 AI、新能源、先进制造为代表的资本技术密集型新动能。重要在于：增长快但就业拉动弱，加剧分化	if4FrsR3qb4::概念::推
K 型分化——一句话解释？	K 型经济中向上与向下部门的落差现象。重要在于：是政策从供给端转向需求端的直接动因	if4FrsR3qb4::概念::推
