# youtube-digest 记忆卡组 · 特朗普的赚钱 2.0
# 导入 Anki：文件 → 导入 → 字段分隔符 Tab → 允许 HTML 关闭 → 第三列映射为 Tags
# 已按 deck-spec v3.0 第 4 章人工复核。v5.0 起纠错卡与边界卡随主文的
# 讲错风险 / 🚧 边界一起下线，卡组只剩综合、证伪、数字三类。
# 共 30 张（综合 7 / 证伪 3 / 数字 10+10）；
# 数字卡从 35 组中按“讲出去会被追问”的重要度手挑 10 组，其余未收录。
同一个"总统"身份，为什么在 1.0 里压低了他的收入、在 2.0 里却成了唯一的定价来源？请说出机制，不要只说"客户变了"。	1.0 卖的是名字的品牌溢价，买家是分布在民主党票仓的美国高端消费者，政治身份会让他们流失；2.0 卖的是与权力中心的距离，买家是中东主权基金、币圈与想和解的平台，他们买的正是这个身份。定价锚从"品牌好感"换成了"权力距离"，同一个变量因此符号相反。	2026-07-29-86f65f::综合::推
会费从 10 万美元涨到 100 万美元，涨的到底是什么？为什么这个涨幅能说明 2.0 的性质？	服务没有变，变的是"能在此处遇到在任总统"的概率。会所因此从社交俱乐部变成接触通道，价格反映的是权力距离而非消费体验——这是 2.0 定价逻辑最干净的一个样本。	2026-07-29-86f65f::综合::推
为什么说 DJT 这家公司的财务表现，恰好印证了第六章讲的"卖的是名字/距离"？	它一季度营收 87 万美元、亏损 4 亿美元，亏损来自高位买入比特币而非经营，宣称的社交、流媒体、AI、核聚变业务几乎没有实质收入。它值钱的东西只有股票代码 DJT 本身——即那个名字。	2026-07-29-86f65f::综合::推
三个币的"支撑强度"和"贡献收入"是什么关系？这个关系说明了什么？	支撑强度从强到弱是稳定币（美元背书）→ 治理代币（投票权）→ Meme 币（纯共识），而收入从少到多正好相反：1.97 亿 → 5.9 亿 → 6.35 亿。说明这门生意的定价来源不是资产支撑，而是注意力与信任的规模。	2026-07-29-86f65f::综合::推
如果 208 条没有 202 条那个例外，特朗普 2.0 的四条通道里，哪几条会最先受影响？	会所（接触总统本人的场所直接构成利益冲突）与加密货币（在任期间发行并从中获利）会最先受影响；诉讼和解与中东挂名项目受影响较小，因为前者是他作为原告的民事和解，后者形式上是商业授权。	2026-07-29-86f65f::综合::推
"阳光是最好的消毒剂"这条制度设计，失效在哪一环？为什么说这是设计缺陷而不是执行不力？	链条是"公开→曝光→选民惩罚→自我约束"，失效在最后一环：它默认当事人在乎被曝光。这是设计缺陷，因为制度主动选择了披露而非禁止，并为总统写明豁免；执行环节（SEC、FBI 人事）只是次要原因。	2026-07-29-86f65f::综合::推
本文哪些结论只能标【推】而不能标【实】？为什么这个区分在转述时特别重要？	模式切换的定性、约 30% 的挂名溢价、12 亿美元的家族财富增长、币圈适配性的解释，都是推演或口述估算而非可核事实；而 22.1 亿总收入、14 亿币圈收入、202 条豁免是可查的。区分重要是因为转述时被追问"哪来的数"，说死一个推演会让整段话失去可信度。	2026-07-29-86f65f::综合::推
「这套模式可持续」这个判断，看到什么就该推翻？	中东挂名项目出现批量搁置公告，或海湖庄园会费出现折扣与退会潮。　【测】（这是可观测事件，不是感觉）	2026-07-29-86f65f::证伪::测
「这是透支型变现」这个判断，看到什么就该推翻？	三个币中任意两个规模回升并稳定半年以上，或 DJT 出现实质业务营收。　【测】（这是可观测事件，不是感觉）	2026-07-29-86f65f::证伪::测
「生死不由市场决定，由规则决定」这个判断，看到什么就该推翻？	国会通过将总统纳入利益冲突禁令的修正案，或 SEC/CFTC 明确把 Meme Coin 纳管。　【测】（这是可观测事件，不是感觉）	2026-07-29-86f65f::证伪::测
财富谷底值——数值是多少？	23 亿美元　【实】	2026-07-29-86f65f::数字::实
「23 亿美元」在本篇指的是什么？	财富谷底值　【实】	2026-07-29-86f65f::数字反向::实
2025 年披露总收入——数值是多少？	22.1 亿美元　【实】	2026-07-29-86f65f::数字::实
「22.1 亿美元」在本篇指的是什么？	2025 年披露总收入　【实】	2026-07-29-86f65f::数字反向::实
全部会所度假村合计收入——数值是多少？	4.85 亿美元　【实】	2026-07-29-86f65f::数字::实
「4.85 亿美元」在本篇指的是什么？	全部会所度假村合计收入　【实】	2026-07-29-86f65f::数字反向::实
第二任期海湖庄园会费——数值是多少？	100 万美元　【实】	2026-07-29-86f65f::数字::实
「100 万美元」在本篇指的是什么？	第二任期海湖庄园会费　【实】	2026-07-29-86f65f::数字反向::实
2026 年个人财富——数值是多少？	65 亿美元　【实】	2026-07-29-86f65f::数字::实
「65 亿美元」在本篇指的是什么？	2026 年个人财富　【实】	2026-07-29-86f65f::数字反向::实
三个币 2025 年合计收入——数值是多少？	14 亿美元　【实】	2026-07-29-86f65f::数字::实
「14 亿美元」在本篇指的是什么？	三个币 2025 年合计收入　【实】	2026-07-29-86f65f::数字反向::实
特朗普币贡献收入——数值是多少？	6.35 亿美元　【实】	2026-07-29-86f65f::数字::实
「6.35 亿美元」在本篇指的是什么？	特朗普币贡献收入　【实】	2026-07-29-86f65f::数字反向::实
特朗普币自高点跌幅——数值是多少？	97%　【实】	2026-07-29-86f65f::数字::实
「97%」在本篇指的是什么？	特朗普币自高点跌幅　【实】	2026-07-29-86f65f::数字反向::实
DJT 2026 年一季度营收——数值是多少？	87 万美元　【实】	2026-07-29-86f65f::数字::实
「87 万美元」在本篇指的是什么？	DJT 2026 年一季度营收　【实】	2026-07-29-86f65f::数字反向::实
明确把总统副总统排除在外的条款——数值是多少？	202 条　【实】	2026-07-29-86f65f::数字::实
「202 条」在本篇指的是什么？	明确把总统副总统排除在外的条款　【实】	2026-07-29-86f65f::数字反向::实
